Area,Date,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-14T15:00:00,569,2,506,2
Bayern,2020-03-14T15:00:00,681,1,605,1
Berlin,2020-03-14T15:00:00,216,0,216,0
Brandenburg,2020-03-14T15:00:00,61,0,57,0
Bremen,2020-03-14T15:00:00,50,0,50,0
Hamburg,2020-03-14T15:00:00,158,0,119,0
Hessen,2020-03-14T15:00:00,203,0,141,0
Mecklenburg-Vorpommern,2020-03-14T15:00:00,45,0,23,0
Niedersachsen,2020-03-14T15:00:00,253,0,187,0
Nordrhein-Westfalen,2020-03-14T15:00:00,1154,5,1154,5
Rheinland-Pfalz,2020-03-14T15:00:00,121,0,121,0
Saarland,2020-03-14T15:00:00,40,0,31,0
Sachsen,2020-03-14T15:00:00,93,0,86,0
Sachsen-Anhalt,2020-03-14T15:00:00,45,0,40,0
Schleswig-Holstein,2020-03-14T15:00:00,60,0,54,0
Thüringen,2020-03-14T15:00:00,46,0,31,0
