Area,Date,Confirmed
Aichach-Friedberg,2020-03-17T12:00:00,12
Amberg Stadt,2020-03-17T12:00:00,2
Amberg-Sulzbach,2020-03-17T12:00:00,13
Ansbach,2020-03-17T12:00:00,3
Aschaffenburg,2020-03-17T12:00:00,16
Aschaffenburg Stadt,2020-03-17T12:00:00,19
Augsburg,2020-03-17T12:00:00,25
Augsburg Stadt,2020-03-17T12:00:00,15
Bad Kissingen,2020-03-17T12:00:00,7
Bad Tölz,2020-03-17T12:00:00,11
Bamberg,2020-03-17T12:00:00,9
Bamberg Stadt,2020-03-17T12:00:00,2
Bayreuth,2020-03-17T12:00:00,6
Berchtesgadener Land,2020-03-17T12:00:00,9
Cham,2020-03-17T12:00:00,23
Coburg,2020-03-17T12:00:00,8
Dachau,2020-03-17T12:00:00,15
Deggendorf,2020-03-17T12:00:00,18
Dingolfing-Landau,2020-03-17T12:00:00,14
Donau-Ries,2020-03-17T12:00:00,9
Ebersberg,2020-03-17T12:00:00,29
Eichstätt,2020-03-17T12:00:00,2
Erding,2020-03-17T12:00:00,18
Erlangen Stadt,2020-03-17T12:00:00,6
Erlangen-Höchstadt,2020-03-17T12:00:00,10
Forchheim,2020-03-17T12:00:00,7
Freising,2020-03-17T12:00:00,93
Freyung-Grafenau,2020-03-17T12:00:00,7
Fürstenfeldbruck,2020-03-17T12:00:00,22
Fürth,2020-03-17T12:00:00,3
Fürth Stadt,2020-03-17T12:00:00,9
Haßberge,2020-03-17T12:00:00,8
Hof,2020-03-17T12:00:00,6
Hof Stadt,2020-03-17T12:00:00,4
Ingolstadt Stadt,2020-03-17T12:00:00,2
Kaufbeuren Stadt,2020-03-17T12:00:00,4
Kelheim,2020-03-17T12:00:00,4
Kitzingen,2020-03-17T12:00:00,5
Kronach,2020-03-17T12:00:00,3
Kulmbach,2020-03-17T12:00:00,1
Landsberg am Lech,2020-03-17T12:00:00,10
Landshut,2020-03-17T12:00:00,8
Landshut Stadt,2020-03-17T12:00:00,4
Lichtenfels,2020-03-17T12:00:00,3
Lindau (Bodensee),2020-03-17T12:00:00,19
Main-Spessart,2020-03-17T12:00:00,8
Memmingen Stadt,2020-03-17T12:00:00,3
Miesbach,2020-03-17T12:00:00,32
Miltenberg,2020-03-17T12:00:00,5
Mühldorf a.Inn,2020-03-17T12:00:00,1
München,2020-03-17T12:00:00,75
München Stadt,2020-03-17T12:00:00,204
Neu-Ulm,2020-03-17T12:00:00,10
Neumarkt i.d.Opf.,2020-03-17T12:00:00,11
Neustadt a.d. Aisch-Bad Windsheim,2020-03-17T12:00:00,4
Neustadt a.d. Waldnaab,2020-03-17T12:00:00,1
Nürnberg Stadt,2020-03-17T12:00:00,28
Nürnberger Land,2020-03-17T12:00:00,7
Oberallgäu,2020-03-17T12:00:00,33
Ostallgäu,2020-03-17T12:00:00,14
Passau,2020-03-17T12:00:00,15
Passau Stadt,2020-03-17T12:00:00,3
Pfaffenhofen a.d.Ilm,2020-03-17T12:00:00,11
Regen,2020-03-17T12:00:00,18
Regensburg,2020-03-17T12:00:00,19
Regensburg Stadt,2020-03-17T12:00:00,17
Rosenheim,2020-03-17T12:00:00,35
Rosenheim Stadt,2020-03-17T12:00:00,1
Roth,2020-03-17T12:00:00,5
Rottal-Inn,2020-03-17T12:00:00,14
Schwabach Stadt,2020-03-17T12:00:00,5
Schwandorf,2020-03-17T12:00:00,12
Schweinfurt,2020-03-17T12:00:00,5
Starnberg,2020-03-17T12:00:00,48
Straubing Stadt,2020-03-17T12:00:00,6
Straubing-Bogen,2020-03-17T12:00:00,3
Tirschenreuth,2020-03-17T12:00:00,27
Traunstein,2020-03-17T12:00:00,15
Unterallgäu,2020-03-17T12:00:00,18
Weiden Stadt,2020-03-17T12:00:00,7
Weilheim-Schongau,2020-03-17T12:00:00,17
Weißenburg-Gunzenhausen,2020-03-17T12:00:00,2
Wunsiedel i.Fichtelgebirge,2020-03-17T12:00:00,3
Würzburg,2020-03-17T12:00:00,47
Würzburg Stadt,2020-03-17T12:00:00,40
